CASENAME,Depth,Area,RESTHICK,PRESS,TEMP,OILGRAV,SOLGOR,Visco,Psat,Bo,FLUIDTYPE,WATSAL,Aquifer,POROSITY,NTG,PERM,CONWATER,PERM.AQUIFER,OOIP,RF,RFmax,Np,Nw,Ng,Nwi,GOR,SWx,RELPERM.RESSAT.Kro,RELPERM.ENDPOINT.Kro,RELPERM.ENDPOINT.Krw,RELPERM.EXPON.Kro,RELPERM.EXPON.Krw,PROD.PI,WINJ.PI,PROD_TIME,Field.OILRATE,Field.WATRATE,Field.GASRATE,Field.INJWATRATE,Field.INJGASRATE,NumPROD,NumWINJ,BODP_well
da615f6d,11410,10,220,5830,237,22.3,50,5.8,355,1.045,Highly Undersaturated,5400,Strong,0.298,0.58,1070,0.167,NA,460,45.4,51.1,207.8,798.76,7947,0,38,0.53,0.24,0.79,0.3998,NA,NA,8,NA,40.1,57000,NA,0,NA,0,5,0,101191.85843065032
fa635191,4440,26.8,256,2560,149,42,740,0.6,2253,1.26,Undersaturated,81200,Weak,0.184,0.66,140,0.295,110,770,13.3,61.3,102.26,0.26,56895,128.98,556,0.39,0.2443,0.801,0.15,2.25,NA,2,2,7.2,71400,700,0,111500,NA,26,20,18827.82632559963
309e6fa6,4970,10.9,399,1920,176,39.8,410,0.4,1746,1.213,Undersaturated,48100,Strong,0.166,0.77,250,0.228,200,570,27.1,29.9,153.79,13.72,164743,0,1071,NA,NA,NA,0.3853,NA,NA,NA,9,20.2,55200,3800,100,0,0,11,0,39376.61797718082
9d1a8822,7120,27,335,3630,178,36,910,0.5,3291,1.34,Near Saturation,85700,Weak,0.169,0.66,120,0.324,90,870,49.3,55.9,430.81,236.8,3313353,725.97,7691,NA,0.2423,NA,0.27,NA,NA,2,NA,55.8,94000,30700,200,90800,NA,18,18,27546.668271059752
3a6d3406,2070,16.2,363,1870,124,29.7,290,3.6,1687,1.078,Undersaturated,118000,Weak,0.126,0.6,180,0.428,100,320,27.6,35.7,88.58,239.09,25246,341.95,285,NA,0.27,0.9445,0.2214,NA,NA,3,3,16.8,27000,71700,0,93800,0,15,13,NA
84d69ded,1010,42.7,93,1320,95,36.8,270,2.2,1185,1.069,Undersaturated,124000,Weak,0.1,0.84,40,0.445,10,270,0.4,0.4,0.97,0,353,1.59,362,NA,NA,NA,0.346,NA,1.91,0,NA,48.2,24000,0,0,109900,NA,149,201,NA
2d8edd69,5820,28.5,281,2470,181,12.7,150,32,1967,1.0727,Full Saturated,109000,Strong,0.139,0.78,520,0.431,260,720,21.8,24.5,156.82,1098.94,18210,1099.95,116,0.55,0.28,0.8807,0.26,NA,2.57,NA,NA,44.4,63000,80100,0,74800,NA,7,2,NA
05dd9367,3050,19.6,162,1500,147,NA,60,327,886,1.04,Near Saturation,119000,Strong,0.119,0.69,390,0.446,150,180,13.8,NA,24.31,408.18,1166,433.23,48,0.52,0.32,0.91,0.213,2.449,1.7,4,6,33.8,14000,37200,0,NA,0,8,3,56850.259402999654
84d572e8,9990,21.7,360,4560,209,35.8,140,1.1,NA,1.071,Highly Undersaturated,10800,Very Strong,0.254,0.62,1390,0.179,1140,1580,48.2,53.2,758.87,1491.4,81908,0,108,0.56,0.215,0.98,0.2076,NA,1.94,20,NA,43.4,126000,206200,0,0,NA,6,0,73366.69460129051
e07aa9c0,3090,36.1,216,1980,120,26.9,310,4.3,1540,1.0925,Undersaturated,105400,Weak,0.142,0.47,150,0.396,100,400,24,NA,95.27,28.44,21840,136.17,229,0.54,NA,NA,0.244,NA,NA,NA,2,9.2,44000,38300,0,91900,0,63,16,7249.842671062132
8601cd36,5730,41.8,79,2660,203,16.3,110,20.7,1210,1.06,Near Saturation,NA,Medium,0.13,0.8,590,0.378,230,290,20.9,26.1,61.15,176.74,5204,187.94,85,0.5,0.29,NA,0.35,NA,2.095,4,3,35.4,29000,17200,NA,17100,NA,7,NA,NA
27dac3b4,5170,31,127,3140,140,22.1,160,11.9,1030,1.05,Undersaturated,NA,NA,0.232,0.44,150,0.363,NA,300,35.6,40.8,107.78,534.39,13243,647.49,123,0.59,0.28,0.6149,0.2771,2.71,NA,NA,NA,42.9,33000,42500,0,51300,0,25,17,17658.77429545694
b43fd530,11990,20.3,45,5990,249,36.9,450,0.5,1744,1.173,Undersaturated,NA,NA,0.298,0.52,1810,0.151,1800,180,26.7,54.5,49.21,12.41,16593,0,337,0.37,0.1867,NA,0.3854,NA,NA,NA,5,14.2,13000,12600,NA,0,0,5,0,88682.67468391336
fab0bab5,3410,24.5,280,1610,154,33.9,NA,2.2,695,1.06,Undersaturated,68200,Medium,0.161,0.54,290,NA,NA,590,8.7,18.5,51.01,0.01,6416,0,126,NA,0.254,0.9373,0.2346,NA,NA,4,NA,6.7,47000,0,0,0,0,19,0,NA
dfca0ea1,6370,15.2,80,4010,186,43.6,1050,0.3,NA,1.459,Undersaturated,36300,Weak,0.209,0.55,150,NA,140,150,37.9,NA,57.17,90.52,59637,174.21,1043,0.48,0.204,NA,NA,NA,NA,NA,1,32.3,NA,14800,0,19100,0,13,10,37871.355374228624
c2ac18e2,9380,19.4,226,4650,222,12.2,NA,38.4,642,1.04,Undersaturated,NA,Strong,0.252,0.64,1210,0.326,850,660,29.3,NA,192.6,2176.93,6889,1409.66,36,NA,0.271,NA,0.1356,NA,NA,NA,NA,48.7,67000,195800,0,98200,NA,4,1,127308.01290416712
ca2eb334,6940,14.7,124,3770,151,34.2,190,NA,744,1.067,Highly Undersaturated,38600,Medium,0.249,0.65,250,0.231,210,280,14.3,25.1,39.39,0.61,5555,0,141,NA,NA,0.948,0.252,NA,NA,NA,NA,8.2,27000,600,0,0,0,21,0,22182.074309763266
22719278,7790,15.9,443,3610,196,40.3,550,0.4,1806,1.201,Undersaturated,26000,Medium,0.229,0.72,240,0.186,230,1140,14.7,34.2,167.01,2.65,69085,0,414,0.29,0.209,0.81,0.48,NA,1.927,6,NA,6.8,131000,3400,100,0,0,11,NA,44530.43358145091
9fce37fc,9470,22,73,5080,192,25.5,670,1.6,3636,1.236,Near Saturation,87700,Weak,0.218,0.57,120,0.343,100,200,35.6,43.4,69.73,42.18,322273,112.75,4622,0.52,0.2543,0.96,0.2542,NA,2.095,0,NA,44.5,16000,5200,0,15500,0,22,15,20972.533542364414
5b5103a1,11840,11.4,342,5900,243,27,160,1.6,916,1.079,Undersaturated,4200,Very Strong,0.296,0.56,2040,NA,1790,660,21.9,62.1,144.86,8.59,17261,0,119,0.34,NA,0.87,0.46,NA,NA,NA,45,8.4,78000,21000,NA,0,0,4,0,124200.66150920175
8ff77f29,11850,NA,405,5940,243,31.5,320,0.8,1544,1.13,Undersaturated,5000,Strong,0.285,0.55,830,0.159,760,550,55.9,55.6,305.73,1390.24,74483,0,244,NA,0.2121,0.938,0.3,NA,1.96,19,NA,58.7,56000,209100,0,0,NA,4,0,127062.38601185905
cdf6185b,9110,15,239,4590,200,30.9,20,3,72,1.034,Very Highly Undersaturated,3000,Very Strong,0.293,0.75,2090,0.16,1810,910,31.5,46.4,286.86,276.65,4735,0,17,0.42,NA,0.946,0.37,NA,NA,25,38,9.9,97000,344700,0,0,NA,5,0,88582.1998618904
86a6884b,9590,37.5,153,4900,217,28.4,110,3.1,NA,1.056,Undersaturated,22500,Strong,0.275,0.79,650,0.21,NA,1250,28.7,NA,359.36,172.82,30261,0,NA,0.41,0.2397,NA,0.432,NA,2.509,6,NA,34.7,107000,34400,0,0,0,8,0,52923.641957990185
4e5ee853,10580,12.6,114,5390,229,25.8,250,2,1491,1.1,Undersaturated,31100,Medium,0.258,0.45,440,0.225,410,150,30.8,38.2,46.86,50.99,8835,0,189,0.45,NA,0.6093,0.3691,NA,1.601,NA,3,15.9,16000,14700,0,0,NA,NA,0,70496.04378388695
810a8d7d,6010,19.7,315,3650,153,28.6,140,4.8,767,1.0529,Undersaturated,49200,Medium,0.183,0.52,200,0.274,130,610,33.7,37.3,205.99,859.64,21423,1060.17,104,0.52,0.289,0.85,0.21,NA,NA,4,4,46.8,75000,62600,0,65500,0,9,5,NA
6b52f8cb,2030,23.7,120,2360,104,42.7,580,0.9,2139,NA,Undersaturated,98600,Weak,0.129,0.56,50,0.33,40,190,46,46.9,89.28,476,51713,590.75,579,0.64,0.26,0.9,0.54,NA,NA,NA,0,48.9,19000,35500,0,47800,NA,60,65,8128.1663151682005
92e5c733,7430,27.6,34,3930,NA,32.8,410,1.4,1808,1.1343,Undersaturated,73600,Medium,0.24,0.8,160,0.304,140,150,13.1,NA,19.37,0.04,5771,0,298,0.35,NA,0.852,0.2034,NA,NA,0,0,16.1,12500,0,NA,NA,0,18,NA,NA
0b87244e,3060,14,454,1950,141,26.6,240,5.4,1758,1.099,Undersaturated,111600,Weak,0.117,0.76,150,0.415,80,390,34.7,37.3,135.34,490.88,468967,615.84,3465,0.57,0.3003,NA,0.2538,NA,NA,NA,NA,57.9,30000,41300,0,NA,NA,11,10,44386.621781126916
0e2c7582,11650,11.5,429,5830,NA,22.9,50,4.3,340,1.0493,Highly Undersaturated,3000,Very Strong,0.296,0.81,2400,0.16,2360,1170,32.8,44.5,383.36,1758.49,15523,0,40,0.43,0.2218,0.86,0.47,4.033,NA,44,NA,17.9,91000,577100,0,0,0,4,0,NA
709a56fb,10640,25.6,167,5400,215,17.9,110,NA,987,1.06,Undersaturated,32400,Strong,0.282,0.69,750,0.248,710,920,17.8,36.9,164.16,28.63,13474,0,82,0.38,NA,0.94,0.204,NA,NA,7,NA,6.8,83000,56800,0,NA,NA,8,NA,57154.39875805387
5634eaa1,2720,10.8,204,5130,130,37.8,1220,1.2,4650,1.1216,Near Saturation,119800,Weak,0.104,0.67,110,0.425,NA,110,42.5,44.2,45.26,198.98,504544,262.7,11148,NA,0.253,0.9182,0.21,NA,1.606,1,2,51.5,8000,16600,NA,32200,0,13,12,NA
e2ae161e,9100,9.5,427,5020,NA,43.7,790,0.4,2461,1.279,Undersaturated,29800,Weak,0.246,0.7,110,NA,90,840,43.7,53.2,365.65,397.74,216702,846.86,593,0.54,NA,0.74,0.3197,NA,NA,2,NA,25.3,79000,90400,0,108000,0,17,8,30136.09460358275
39b528ae,9680,27.5,409,4660,220,25.7,90,3.3,547,1.054,Undersaturated,17900,Very Strong,0.27,0.43,1280,0.206,950,1250,43.8,45.8,546.78,1155.43,37267,0,68,NA,0.23,NA,NA,NA,NA,13,26,38.8,148000,156900,NA,0,0,6,NA,NA
f49ea3c5,10230,17.4,220,5020,216,25.4,90,4,646,1.0564,Undersaturated,16300,Very Strong,0.266,0.64,1200,0.203,NA,650,42,44.4,271.39,1224.62,18873,0,70,0.53,NA,0.934,0.5192,NA,2.028,13,NA,44.5,56000,169800,0,0,0,5,0,88165.52112346748
99608f8f,10160,29.3,36,4520,275,36.5,310,0.8,1326,1.123,Undersaturated,21300,Very Strong,0.25,0.73,1010,NA,880,200,33.9,48,66.32,33.27,15209,0,NA,0.46,NA,0.98,0.35,NA,NA,2,NA,15,21000,15900,0,0,0,6,0,79360.92458308849
75330de2,4280,9.6,313,2540,146,21.9,110,17.1,799,1.0437,Undersaturated,78000,Medium,0.161,0.78,230,0.356,130,390,6.2,16.7,23.77,0.2,1991,0,84,0.39,0.297,NA,0.31,NA,NA,5,6,5.2,42000,1000,NA,0,0,7,0,71255.6933632478
e27dfd3a,6730,19.4,99,4090,167,38.8,1110,NA,3342,1.4,Undersaturated,81700,Weak,0.19,0.76,100,0.291,80,250,16.1,57.5,40.37,0,225631,7.78,5590,NA,0.253,0.9036,NA,NA,2.072,NA,NA,14.8,19000,0,100,26900,16400,21,15,20149.599150534155
87037073,6970,29,213,3770,177,32.6,210,2.3,1034,1.0753,Undersaturated,49700,Medium,0.205,0.64,230,0.266,200,990,15.1,16.9,150.3,1.21,22517,0,150,0.32,0.26,0.9476,0.539,2.26,NA,NA,5,46.8,80000,200,0,0,0,18,0,28278.297458405723
31399d4b,1610,10.1,95,2850,96,31.9,490,3.7,2610,1.0851,Near Saturation,NA,Weak,0.124,0.63,40,NA,20,60,2.4,2.4,1.31,0,680,0.38,NA,0.05,0.3,NA,0.129,NA,NA,0,NA,25.1,5000,0,0,24700,NA,36,54,12378.114765313512
